ID,Customer_Name,City,Age,Email
1,Raj,Delhi,21,raj@gmail.com
2,Amit,Mumbai,35,amit@gmail.com
3,,Delhi,42,priya@gmail.com
4,Neha,pune,29,
5,Rohit,Bangalore,,rohit@gmail.com
6,Karan,MUMBAI,45,karan@gmail.com
7,Sneha,Delhi,25,sneha@gmail.com
8,Ankit,Pune,38,ankit@gmail.com
9,Pooja,chennai,33,pooja@gmail.com
10,Vikas,Bangalore,50,vikas@gmail.com
11,Meera,Delhi,47,meera@gmail.com
12,Rahul,Mumbai,27,rahul@gmail.com
13,Kavya,Chennai,,kavya@gmail.com
14,Arjun,Pune,36,arjun@gmail.com
15,Divya,Bangalore,28,
16,Suresh,Delhi,55,suresh@gmail.com
17,Nisha,Mumbai,32,nisha@gmail.com
18,,Chennai,48,manoj@gmail.com
19,Ritu,Pune,26,ritu@gmail.com
20,Ajay,Bangalore,60,ajay@gmail.com
